"Time (s)","Pressure (hPa)"
1.557982490E2,9.966227722E2
1.568664090E2,9.966056061E2
1.579345520E2,9.965884399E2
1.590027640E2,9.965726471E2
1.600709560E2,9.965567780E2
1.611391050E2,9.965400696E2
1.622072270E2,9.965230560E2
1.632753230E2,9.965047455E2
1.643433840E2,9.964881897E2
1.654115110E2,9.964698029E2
1.664796240E2,9.964505768E2
1.675477280E2,9.964340973E2
1.686158170E2,9.964160919E2
1.696839160E2,9.963983917E2
1.707520160E2,9.963808441E2
1.718201280E2,9.963641357E2
1.728881950E2,9.963455963E2
1.739563140E2,9.963273621E2
1.750244750E2,9.963093567E2
1.760926260E2,9.962896729E2
1.771607340E2,9.962719727E2
1.782288590E2,9.962521362E2
1.792970080E2,9.962342072E2
1.803650960E2,9.962141418E2
1.814331840E2,9.961957550E2
1.825012730E2,9.961766815E2
1.835694100E2,9.961571503E2
1.846375410E2,9.961378479E2
1.857057060E2,9.961187744E2
1.867738900E2,9.960997772E2
1.878420640E2,9.960816193E2
1.889101780E2,9.960637665E2
1.899782870E2,9.960448456E2
1.910463880E2,9.960269165E2
1.921145380E2,9.960071564E2
1.931826610E2,9.959885406E2
1.942507430E2,9.959690094E2
1.953188290E2,9.959492493E2
1.963869500E2,9.959310150E2
1.974550720E2,9.959123993E2
1.985231720E2,9.958922577E2
1.995912610E2,9.958719635E2
2.006593750E2,9.958553314E2
2.017274700E2,9.958361816E2
2.027955840E2,9.958167267E2
2.038637140E2,9.957968140E2
2.049318520E2,9.957788086E2
2.060000200E2,9.957585144E2
2.070681730E2,9.957389069E2
2.081363560E2,9.957195282E2
2.092044540E2,9.957033539E2
2.102725540E2,9.956823730E2
2.113407090E2,9.956631470E2
2.124088380E2,9.956443024E2
2.134770330E2,9.956244659E2
2.145451890E2,9.956052399E2
2.156133900E2,9.955886078E2
2.166815230E2,9.955696869E2
2.177497050E2,9.955500793E2
2.188178700E2,9.955309296E2
2.198860400E2,9.955123138E2
2.209541750E2,9.954918671E2
2.220223540E2,9.954741669E2
2.230905520E2,9.954543304E2
2.241587070E2,9.954347229E2
2.252268430E2,9.954141998E2
2.262950210E2,9.953929138E2
2.273631570E2,9.953713226E2
2.284312890E2,9.953520966E2
2.294993870E2,9.953321838E2
2.305675350E2,9.953115082E2
2.316356120E2,9.952931976E2
2.327036800E2,9.952735901E2
2.337717800E2,9.952542877E2
2.348398540E2,9.952345276E2
2.359079790E2,9.952162170E2
2.369760920E2,9.951976776E2
2.380442040E2,9.951780701E2
2.391123280E2,9.951589966E2
2.401804650E2,9.951378632E2
2.412486000E2,9.951182556E2
2.423166940E2,9.950972748E2
2.433848180E2,9.950783539E2
2.444529620E2,9.950573730E2
2.455210590E2,9.950384521E2
2.465891770E2,9.950189972E2
2.476572750E2,9.950008392E2
2.487254060E2,9.949811554E2
2.497935220E2,9.949623871E2
2.508616140E2,9.949430847E2
2.519297380E2,9.949221802E2
