"Time (s)","Pressure (hPa)"
2.224483329E2,9.956823730E2
2.235201179E2,9.956625366E2
2.245919299E2,9.956443787E2
2.256637339E2,9.956267548E2
2.267355479E2,9.956072998E2
2.278073619E2,9.955884552E2
2.288791869E2,9.955707550E2
2.299509899E2,9.955511475E2
2.310227599E2,9.955312347E2
2.320945569E2,9.955125427E2
2.331663539E2,9.954918671E2
2.342381389E2,9.954711151E2
2.353099419E2,9.954531860E2
2.363817659E2,9.954333496E2
2.374536349E2,9.954136658E2
2.385254599E2,9.953942871E2
2.395972539E2,9.953742981E2
2.406690429E2,9.953547668E2
2.417408419E2,9.953345490E2
2.428126669E2,9.953138733E2
2.438844539E2,9.952937317E2
2.449562319E2,9.952751160E2
2.460280019E2,9.952536011E2
2.470997789E2,9.952332306E2
2.481715599E2,9.952130890E2
2.492433609E2,9.951943970E2
2.503151489E2,9.951739502E2
2.513869669E2,9.951554108E2
2.524587439E2,9.951369476E2
2.535305249E2,9.951178741E2
2.546023379E2,9.950975037E2
2.556741779E2,9.950756836E2
2.567460019E2,9.950546265E2
2.578178009E2,9.950338745E2
2.588896269E2,9.950137329E2
2.599614909E2,9.949936676E2
2.610332879E2,9.949763489E2
2.621050809E2,9.949549103E2
2.631768829E2,9.949353790E2
2.642487319E2,9.949155426E2
2.653205589E2,9.948954010E2
2.663923789E2,9.948747253E2
2.674641759E2,9.948561096E2
2.685359899E2,9.948384094E2
2.696078199E2,9.948181152E2
2.706795979E2,9.947989655E2
2.717514069E2,9.947798920E2
2.728232219E2,9.947612762E2
2.738949999E2,9.947400665E2
2.749667529E2,9.947213745E2
2.760385119E2,9.947004700E2
2.771102249E2,9.946804047E2
2.781819849E2,9.946622467E2
2.792538049E2,9.946439362E2
2.803255579E2,9.946247864E2
2.813973349E2,9.946068573E2
2.824690929E2,9.945877075E2
2.835408609E2,9.945694733E2
2.846126299E2,9.945505524E2
2.856844089E2,9.945317078E2
2.867562159E2,9.945135498E2
2.878280169E2,9.944948578E2
2.888997929E2,9.944770813E2
2.899715769E2,9.944602203E2
2.910433639E2,9.944421387E2
2.921151259E2,9.944227600E2
2.931869779E2,9.944048309E2
2.942587399E2,9.943851471E2
2.953304559E2,9.943664551E2
2.964022079E2,9.943467712E2
2.974739779E2,9.943285370E2
2.985456909E2,9.943106079E2
2.996174639E2,9.942924500E2
3.006892129E2,9.942733765E2
3.017609989E2,9.942546082E2
3.028327999E2,9.942345428E2
3.039045629E2,9.942127991E2
3.049763769E2,9.941922760E2
3.060481729E2,9.941726685E2
3.071199719E2,9.941516113E2
3.081917389E2,9.941336823E2
3.092635329E2,9.941161346E2
3.103353209E2,9.940971375E2
3.114070939E2,9.940774536E2
3.124788599E2,9.940557098E2
3.135506559E2,9.940343475E2
3.146224719E2,9.940116119E2
3.156942659E2,9.939901733E2
3.167660709E2,9.939680481E2
3.178378919E2,9.939499664E2
3.189097159E2,9.939319611E2
3.199815509E2,9.939126587E2
3.210532999E2,9.938940430E2
3.221250899E2,9.938749695E2
3.231968769E2,9.938538361E2
3.242686379E2,9.938318634E2
3.253403549E2,9.938115692E2
3.264121329E2,9.937908936E2
3.274838859E2,9.937715149E2
3.285556769E2,9.937541199E2
3.296274569E2,9.937357330E2
3.306992439E2,9.937165833E2
3.317710379E2,9.936965942E2
3.328428409E2,9.936756134E2
3.339146669E2,9.936553955E2
3.349864939E2,9.936356354E2
3.360583079E2,9.936145020E2
3.371301199E2,9.935956573E2
3.382019559E2,9.935775757E2
3.392737539E2,9.935571289E2
3.403455229E2,9.935405731E2
3.414173039E2,9.935236359E2
3.424890899E2,9.935031128E2
3.435608749E2,9.934826660E2
3.446326939E2,9.934634399E2
3.457045329E2,9.934409332E2
3.467763629E2,9.934217072E2
3.478482139E2,9.934030914E2
3.489200429E2,9.933826447E2
3.499918579E2,9.933647919E2
3.510636049E2,9.933470154E2
3.521353689E2,9.933278656E2
3.532071579E2,9.933090973E2
3.542789089E2,9.932910919E2
3.553506699E2,9.932716370E2
3.564224759E2,9.932509613E2
3.574942509E2,9.932316589E2
3.585660209E2,9.932128143E2
3.596378299E2,9.931941223E2
3.607095909E2,9.931744385E2
3.617813549E2,9.931576538E2
3.628531189E2,9.931382751E2
3.639248719E2,9.931170654E2
3.649965929E2,9.930961609E2
3.660683229E2,9.930767822E2
3.671400409E2,9.930551147E2
3.682117949E2,9.930335999E2
3.692835559E2,9.930158997E2
3.703552899E2,9.929968262E2
3.714270199E2,9.929787445E2
3.724987089E2,9.929597473E2
3.735704289E2,9.929408264E2
3.746421149E2,9.929206848E2
3.757137799E2,9.929014587E2
3.767855159E2,9.928786469E2
3.778572529E2,9.928585052E2
3.789290199E2,9.928380585E2
3.800007539E2,9.928205872E2
3.810724729E2,9.927986145E2
3.821442409E2,9.927809906E2
3.832159739E2,9.927642059E2
3.842876879E2,9.927453613E2
3.853593849E2,9.927257538E2
3.864310839E2,9.927072906E2
3.875027999E2,9.926882935E2
3.885744739E2,9.926673126E2
3.896461439E2,9.926465607E2
3.907178049E2,9.926255798E2
3.917895289E2,9.926044464E2
3.928612899E2,9.925847626E2
3.939330449E2,9.925650787E2
3.950047809E2,9.925474548E2
3.960764669E2,9.925299072E2
3.971481759E2,9.925135803E2
3.982198739E2,9.924942780E2
3.992915689E2,9.924758911E2
4.003632599E2,9.924556732E2
4.014349639E2,9.924356842E2
4.025066309E2,9.924139404E2
4.035783059E2,9.923911285E2
4.046499759E2,9.923689270E2
4.057216779E2,9.923447418E2
4.067932709E2,9.923188782E2
4.078648899E2,9.922909546E2
4.089365689E2,9.922629547E2
4.100082859E2,9.922354126E2
4.110799539E2,9.922094727E2
4.121516279E2,9.921863556E2
4.132232799E2,9.921645355E2
4.142948919E2,9.921441650E2
4.153665159E2,9.921244049E2
4.164381689E2,9.921054077E2
4.175097909E2,9.920885468E2
4.185814599E2,9.920728302E2
4.196530749E2,9.920592499E2
4.207246859E2,9.920461273E2
4.217963049E2,9.920333862E2
4.228679239E2,9.920198059E2
4.239395689E2,9.920027924E2
4.250111709E2,9.919846344E2
4.260827679E2,9.919654846E2
4.271544409E2,9.919458008E2
4.282260939E2,9.919240570E2
4.292977379E2,9.919046783E2
4.303694519E2,9.918853760E2
4.314410979E2,9.918669128E2
4.325127379E2,9.918459320E2
4.335843529E2,9.918267059E2
4.346559729E2,9.918074799E2
4.357275829E2,9.917889404E2
4.367991989E2,9.917692566E2
4.378708449E2,9.917518616E2
4.389424449E2,9.917339325E2
4.400140559E2,9.917158508E2
4.410857159E2,9.917003632E2
4.421573549E2,9.916832733E2
4.432290279E2,9.916687012E2
4.443007189E2,9.916497803E2
4.453724519E2,9.916316986E2
4.464442139E2,9.916143036E2
4.475159529E2,9.915953064E2
4.485876819E2,9.915759277E2
4.496593699E2,9.915583038E2
4.507310569E2,9.915431976E2
4.518027299E2,9.915251160E2
4.528744089E2,9.915071106E2
4.539460989E2,9.914883423E2
4.550177779E2,9.914710999E2
4.560894359E2,9.914533997E2
4.571610959E2,9.914349365E2
4.582327639E2,9.914167023E2
4.593044239E2,9.913996124E2
4.603760999E2,9.913805389E2
4.614477929E2,9.913610077E2
4.625194359E2,9.913436127E2
4.635911139E2,9.913288879E2
4.646628499E2,9.913114166E2
4.657346089E2,9.912934875E2
4.668062829E2,9.912764740E2
4.678779859E2,9.912573242E2
4.689496869E2,9.912368774E2
4.700213639E2,9.912190247E2
4.710930269E2,9.912030029E2
4.721646589E2,9.911855316E2
4.732363089E2,9.911694336E2
4.743080179E2,9.911522675E2
4.753797129E2,9.911355591E2
4.764513829E2,9.911186981E2
4.775230759E2,9.911009979E2
4.785947629E2,9.910835266E2
4.796664449E2,9.910657501E2
4.807381169E2,9.910489655E2
4.818097819E2,9.910287476E2
4.828815069E2,9.910108185E2
4.839532119E2,9.909944153E2
4.850249179E2,9.909756470E2
4.860965999E2,9.909568024E2
4.871682939E2,9.909396362E2
4.882399629E2,9.909221649E2
4.893116259E2,9.909027863E2
4.903833129E2,9.908854675E2
4.914549969E2,9.908690643E2
4.925267029E2,9.908514404E2
4.935983539E2,9.908334351E2
4.946699809E2,9.908155823E2
4.957416349E2,9.907989502E2
4.968133039E2,9.907801819E2
4.978849989E2,9.907624054E2
4.989567159E2,9.907458496E2
5.000283909E2,9.907288361E2
5.011000879E2,9.907109833E2
5.021717489E2,9.906934357E2
5.032434179E2,9.906775665E2
5.043150389E2,9.906585693E2
5.053867049E2,9.906410217E2
5.064583909E2,9.906223297E2
5.075300269E2,9.906040192E2
5.086016709E2,9.905852509E2
5.096733789E2,9.905677032E2
5.107450269E2,9.905498505E2
5.118167099E2,9.905323029E2
5.128883529E2,9.905163574E2
5.139600059E2,9.904997253E2
5.150316729E2,9.904830933E2
5.161032739E2,9.904681396E2
5.171749319E2,9.904499054E2
5.182465859E2,9.904312134E2
5.193182659E2,9.904131317E2
5.203899929E2,9.903942871E2
5.214617339E2,9.903747559E2
5.225333929E2,9.903575897E2
5.236050659E2,9.903401184E2
5.246767659E2,9.903213501E2
5.257484679E2,9.903031921E2
5.268201709E2,9.902840424E2
5.278918349E2,9.902651215E2
5.289634849E2,9.902451324E2
5.300351559E2,9.902254486E2
5.311067809E2,9.902078247E2
5.321784259E2,9.901905823E2
5.332500249E2,9.901707458E2
5.343216399E2,9.901510620E2
5.353932789E2,9.901335907E2
5.364649719E2,9.901141357E2
5.375366449E2,9.900938416E2
5.386083119E2,9.900751495E2
5.396800059E2,9.900551605E2
5.407516949E2,9.900346375E2
5.418233879E2,9.900132751E2
5.428950559E2,9.899919128E2
5.439667359E2,9.899731445E2
5.450384229E2,9.899552155E2
5.461100749E2,9.899365997E2
5.471816969E2,9.899207306E2
5.482534009E2,9.899037933E2
5.493251409E2,9.898854828E2
5.503968489E2,9.898691559E2
5.514684859E2,9.898523712E2
5.525400789E2,9.898346710E2
5.536116929E2,9.898165894E2
5.546833059E2,9.897991180E2
5.557549179E2,9.897800446E2
5.568265969E2,9.897615814E2
5.578982679E2,9.897447205E2
5.589699389E2,9.897270966E2
5.600415559E2,9.897098541E2
5.611131869E2,9.896948242E2
5.621848479E2,9.896791840E2
5.632565469E2,9.896627045E2
5.643282879E2,9.896464539E2
5.653999569E2,9.896289825E2
5.664715949E2,9.896112061E2
5.675432329E2,9.895956421E2
5.686149099E2,9.895768738E2
5.696865329E2,9.895606232E2
5.707581769E2,9.895444489E2
5.718298149E2,9.895289612E2
5.729014359E2,9.895095062E2
5.739730909E2,9.894931793E2
5.750447719E2,9.894762421E2
5.761164249E2,9.894589233E2
5.771880799E2,9.894404602E2
5.782597159E2,9.894240570E2
5.793313689E2,9.894071198E2
5.804029999E2,9.893907928E2
5.814746409E2,9.893730164E2
5.825463679E2,9.893582916E2
5.836180219E2,9.893402863E2
5.846896749E2,9.893244934E2
5.857613009E2,9.893100739E2
5.868329369E2,9.892949677E2
5.879046119E2,9.892802429E2
5.889762329E2,9.892652893E2
5.900478749E2,9.892503357E2
5.911195249E2,9.892350769E2
5.921911519E2,9.892192078E2
5.932627729E2,9.892026520E2
5.943344069E2,9.891881561E2
5.954060269E2,9.891736603E2
5.964776639E2,9.891601562E2
5.975493379E2,9.891432190E2
5.986209559E2,9.891285706E2
5.996925929E2,9.891130829E2
6.007642699E2,9.890990448E2
6.018359299E2,9.890834808E2
6.029076149E2,9.890699005E2
6.039793129E2,9.890550995E2
6.050510319E2,9.890411377E2
6.061227399E2,9.890274048E2
6.071943959E2,9.890119171E2
6.082660499E2,9.889976501E2
6.093377109E2,9.889817810E2
6.104093319E2,9.889672852E2
6.114810009E2,9.889507294E2
6.125527479E2,9.889356232E2
6.136244949E2,9.889200592E2
6.146961079E2,9.889065552E2
6.157677379E2,9.888919067E2
6.168393439E2,9.888775635E2
6.179109419E2,9.888635254E2
6.189825959E2,9.888486481E2
6.200541919E2,9.888324738E2
6.211258239E2,9.888183594E2
6.221974919E2,9.888028717E2
6.232691339E2,9.887882996E2
6.243406929E2,9.887742615E2
6.254122319E2,9.887612152E2
6.264837779E2,9.887447357E2
6.275553319E2,9.887293243E2
6.286268779E2,9.887133789E2
6.296984479E2,9.886977386E2
6.307700149E2,9.886812592E2
6.318416159E2,9.886677551E2
6.329132089E2,9.886544037E2
6.339848569E2,9.886405182E2
6.350564809E2,9.886251068E2
6.361280739E2,9.886109924E2
6.371996649E2,9.885968018E2
6.382713129E2,9.885819244E2
6.393429479E2,9.885670471E2
6.404145939E2,9.885524750E2
6.414862929E2,9.885378265E2
6.425579289E2,9.885244751E2
6.436295709E2,9.885108185E2
6.447011849E2,9.884969330E2
6.457727889E2,9.884842682E2
6.468443499E2,9.884717560E2
6.479159279E2,9.884584045E2
6.489875579E2,9.884440613E2
6.500591929E2,9.884307098E2
6.511308519E2,9.884165955E2
6.522025229E2,9.884043121E2
6.532741349E2,9.883918762E2
6.543457549E2,9.883796692E2
6.554173609E2,9.883669281E2
6.564889429E2,9.883557892E2
6.575605489E2,9.883435822E2
6.586321649E2,9.883324432E2
6.597037159E2,9.883219910E2
6.607753169E2,9.883131409E2
6.618468739E2,9.883053589E2
6.629184779E2,9.882959747E2
6.639900349E2,9.882873535E2
6.650616539E2,9.882768250E2
6.661332749E2,9.882659149E2
6.672049249E2,9.882542419E2
6.682765519E2,9.882434845E2
6.693481399E2,9.882321930E2
6.704197199E2,9.882197571E2
6.714912589E2,9.882053375E2
6.725628449E2,9.881919098E2
6.736344729E2,9.881745911E2
6.747061199E2,9.881599426E2
6.757776949E2,9.881439209E2
6.768493149E2,9.881284332E2
6.779208949E2,9.881127930E2
6.789924629E2,9.880966187E2
6.800640319E2,9.880803680E2
6.811356219E2,9.880641174E2
6.822072109E2,9.880466461E2
6.832788299E2,9.880313110E2
6.843504389E2,9.880175018E2
6.854220359E2,9.880023956E2
6.864935959E2,9.879867554E2
6.875651569E2,9.879744720E2
6.886367629E2,9.879612732E2
6.897083239E2,9.879450989E2
6.907799079E2,9.879299927E2
6.918514919E2,9.879159546E2
6.929230779E2,9.878993225E2
6.939946679E2,9.878831482E2
6.950662579E2,9.878681183E2
6.961378119E2,9.878529358E2
6.972093499E2,9.878385162E2
6.982809399E2,9.878244019E2
6.993524999E2,9.878108215E2
7.004240699E2,9.877946472E2
7.014956809E2,9.877812195E2
7.025672679E2,9.877660370E2
7.036388549E2,9.877507019E2
7.047104069E2,9.877362823E2
7.057820149E2,9.877226257E2
7.068536759E2,9.877061462E2
7.079252539E2,9.876917267E2
7.089968719E2,9.876766205E2
7.100684899E2,9.876603699E2
7.111401049E2,9.876451111E2
7.122116839E2,9.876298523E2
7.132832909E2,9.876155090E2
7.143549069E2,9.876003265E2
7.154264939E2,9.875875854E2
7.164980499E2,9.875734711E2
7.175696349E2,9.875594330E2
7.186412279E2,9.875463867E2
7.197128779E2,9.875331879E2
7.207845109E2,9.875184631E2
7.218561519E2,9.875046539E2
7.229277449E2,9.874903107E2
7.239993339E2,9.874764252E2
7.250709719E2,9.874620819E2
7.261425709E2,9.874492645E2
7.272141259E2,9.874354553E2
7.282857109E2,9.874211121E2
7.293572789E2,9.874037170E2
7.304288189E2,9.873893738E2
7.315003779E2,9.873739624E2
7.325719419E2,9.873582458E2
7.336435349E2,9.873420715E2
7.347150959E2,9.873274231E2
7.357866419E2,9.873133850E2
7.368581859E2,9.873004913E2
7.379297639E2,9.872876740E2
7.390013739E2,9.872737122E2
7.400729739E2,9.872593689E2
7.411445439E2,9.872425079E2
7.422161029E2,9.872247314E2
7.432876549E2,9.872083282E2
7.443592749E2,9.871940613E2
7.454308719E2,9.871797180E2
7.465025079E2,9.871636963E2
7.475740809E2,9.871489716E2
7.486456809E2,9.871337128E2
7.497172529E2,9.871170807E2
7.507887949E2,9.871015167E2
7.518603799E2,9.870863342E2
7.529319619E2,9.870710754E2
7.540035499E2,9.870561981E2
7.550751829E2,9.870419312E2
7.561468049E2,9.870258331E2
7.572184259E2,9.870100403E2
7.582900009E2,9.869931793E2
7.593615839E2,9.869762421E2
7.604331349E2,9.869590759E2
7.615046929E2,9.869425201E2
7.625762149E2,9.869264221E2
7.636477519E2,9.869108582E2
7.647193109E2,9.868964386E2
7.657909089E2,9.868808746E2
7.668625049E2,9.868655396E2
7.679340879E2,9.868492126E2
7.690056529E2,9.868347168E2
7.700771829E2,9.868180847E2
7.711487419E2,9.868018341E2
7.722203119E2,9.867852020E2
7.732918999E2,9.867705536E2
7.743634239E2,9.867542267E2
7.754349759E2,9.867400360E2
7.765064759E2,9.867240143E2
7.775781189E2,9.867086792E2
7.786497349E2,9.866941071E2
7.797213039E2,9.866771698E2
7.807928629E2,9.866602325E2
7.818644099E2,9.866466522E2
7.829359509E2,9.866328430E2
7.840075239E2,9.866189575E2
7.850791219E2,9.866055298E2
7.861507309E2,9.865909576E2
7.872223909E2,9.865748596E2
7.882940279E2,9.865570831E2
7.893656839E2,9.865423584E2
7.904373649E2,9.865255737E2
