"Time (s)","Pressure (hPa)"
3.962293048E2,9.932623901E2
3.962693095E2,9.932575073E2
3.963093084E2,9.932535400E2
3.963493135E2,9.932513428E2
3.963893128E2,9.932501221E2
3.964293077E2,9.932514648E2
3.964693114E2,9.932552490E2
3.965093025E2,9.932594604E2
3.965493110E2,9.932614136E2
3.965893115E2,9.932592773E2
3.966293060E2,9.932581177E2
3.966692968E2,9.932570190E2
3.967093082E2,9.932528076E2
3.967493081E2,9.932503052E2
3.967893105E2,9.932520752E2
3.968293049E2,9.932516479E2
3.968693165E2,9.932504883E2
3.969093071E2,9.932518311E2
3.969493179E2,9.932543945E2
3.969893100E2,9.932567139E2
3.970293102E2,9.932564697E2
3.970693099E2,9.932548828E2
3.971093053E2,9.932542114E2
3.971493168E2,9.932540283E2
3.971893116E2,9.932542114E2
3.972293164E2,9.932545166E2
3.972693106E2,9.932528076E2
3.973093007E2,9.932520752E2
3.973493090E2,9.932496948E2
3.973893064E2,9.932456055E2
3.974293109E2,9.932443237E2
3.974693084E2,9.932442627E2
3.975092966E2,9.932413940E2
3.975493102E2,9.932393799E2
3.975893077E2,9.932386475E2
3.976293138E2,9.932374268E2
3.976692969E2,9.932381592E2
3.977093109E2,9.932405396E2
3.977493105E2,9.932415161E2
3.977893053E2,9.932413330E2
3.978293118E2,9.932420654E2
3.978693082E2,9.932416992E2
3.979093125E2,9.932394409E2
3.979493143E2,9.932366333E2
3.979892962E2,9.932340698E2
3.980293052E2,9.932322998E2
3.980693025E2,9.932332764E2
3.981093093E2,9.932350464E2
3.981493108E2,9.932348633E2
3.981892968E2,9.932348633E2
3.982293064E2,9.932343750E2
3.982693079E2,9.932327271E2
3.983093094E2,9.932319336E2
3.983493046E2,9.932317505E2
3.983893089E2,9.932315674E2
3.984293088E2,9.932307739E2
3.984693019E2,9.932293091E2
3.985093050E2,9.932279053E2
3.985493040E2,9.932288818E2
3.985893079E2,9.932296143E2
3.986293126E2,9.932290039E2
3.986693061E2,9.932273560E2
3.987093128E2,9.932249146E2
3.987493087E2,9.932237549E2
3.987893102E2,9.932215576E2
3.988293060E2,9.932186279E2
3.988692976E2,9.932171021E2
3.989093075E2,9.932166138E2
3.989493064E2,9.932164307E2
3.989893088E2,9.932152100E2
3.990293105E2,9.932147217E2
3.990693113E2,9.932135620E2
3.991093087E2,9.932139893E2
3.991493064E2,9.932127075E2
3.991893113E2,9.932137451E2
3.992293066E2,9.932155151E2
3.992693074E2,9.932160034E2
3.993093075E2,9.932151489E2
3.993493067E2,9.932145386E2
3.993893107E2,9.932133789E2
