"Time (s)","Pressure (hPa)"
3.241849768E2,9.939989471E2
3.252495318E2,9.939791107E2
3.263140498E2,9.939597321E2
3.273785488E2,9.939398956E2
3.284430628E2,9.939195251E2
3.295076218E2,9.938976288E2
3.305721338E2,9.938779449E2
3.316366888E2,9.938570404E2
3.327012188E2,9.938374329E2
3.337657598E2,9.938175201E2
3.348302578E2,9.937988281E2
3.358947208E2,9.937803650E2
3.369591948E2,9.937607574E2
3.380237148E2,9.937403870E2
3.390882148E2,9.937193298E2
3.401526608E2,9.937001038E2
3.412171058E2,9.936805725E2
3.422815728E2,9.936599731E2
3.433460608E2,9.936421967E2
3.444105598E2,9.936241913E2
3.454750658E2,9.936038971E2
3.465395238E2,9.935845184E2
3.476040058E2,9.935652924E2
3.486684818E2,9.935436249E2
3.497329708E2,9.935235596E2
3.507974678E2,9.935047150E2
3.518619388E2,9.934836578E2
3.529264458E2,9.934642792E2
3.539909728E2,9.934457397E2
3.550553958E2,9.934265900E2
3.561198338E2,9.934078979E2
3.571842858E2,9.933906555E2
3.582487498E2,9.933704376E2
3.593132318E2,9.933509064E2
3.603776778E2,9.933311462E2
3.614421398E2,9.933111572E2
3.625066198E2,9.932907104E2
3.635710818E2,9.932725525E2
3.646355598E2,9.932542419E2
3.657000708E2,9.932349396E2
3.667645678E2,9.932173920E2
3.678290618E2,9.931999969E2
3.688935928E2,9.931808472E2
3.699581298E2,9.931616974E2
3.710226608E2,9.931443787E2
3.720871438E2,9.931243896E2
3.731516228E2,9.931037903E2
3.742161378E2,9.930853271E2
3.752806728E2,9.930665588E2
3.763451908E2,9.930474091E2
3.774096578E2,9.930290222E2
3.784740758E2,9.930112457E2
3.795384738E2,9.929901886E2
3.806029088E2,9.929706573E2
3.816673708E2,9.929499054E2
3.827318008E2,9.929283142E2
3.837962538E2,9.929084015E2
3.848607148E2,9.928902435E2
3.859252148E2,9.928704071E2
3.869897088E2,9.928524017E2
3.880541558E2,9.928349304E2
3.891186528E2,9.928155518E2
3.901831228E2,9.927946472E2
3.912475418E2,9.927751160E2
3.923119568E2,9.927531433E2
3.933763878E2,9.927307129E2
3.944408098E2,9.927100372E2
3.955052818E2,9.926920319E2
3.965697718E2,9.926730347E2
3.976342878E2,9.926541901E2
3.986987978E2,9.926380920E2
3.997632968E2,9.926203918E2
4.008278018E2,9.926015472E2
4.018922778E2,9.925836945E2
4.029567798E2,9.925652313E2
4.040212858E2,9.925460052E2
4.050858088E2,9.925252533E2
4.061503168E2,9.925057983E2
4.072148098E2,9.924846649E2
4.082793048E2,9.924647522E2
4.093438068E2,9.924453735E2
4.104083378E2,9.924266052E2
4.114728558E2,9.924099731E2
4.125373448E2,9.923924255E2
4.136018208E2,9.923735809E2
4.146662878E2,9.923544312E2
4.157307918E2,9.923342896E2
4.167953058E2,9.923114777E2
4.178597938E2,9.922912598E2
4.189242648E2,9.922692871E2
4.199887338E2,9.922485352E2
4.210532168E2,9.922254944E2
4.221176918E2,9.922023773E2
4.231821908E2,9.921749878E2
4.242467158E2,9.921484375E2
4.253112708E2,9.921208191E2
4.263757898E2,9.920944977E2
4.274403398E2,9.920690155E2
4.285048398E2,9.920461273E2
4.295693298E2,9.920261383E2
4.306338658E2,9.920037842E2
4.316983628E2,9.919841003E2
4.327628268E2,9.919648743E2
4.338272838E2,9.919476318E2
4.348917478E2,9.919320679E2
4.359562408E2,9.919168091E2
4.370206908E2,9.919035339E2
4.380851928E2,9.918905640E2
4.391496888E2,9.918765259E2
4.402141858E2,9.918601990E2
4.412786388E2,9.918441772E2
4.423430938E2,9.918254089E2
4.434076018E2,9.918041229E2
4.444721088E2,9.917826080E2
4.455366138E2,9.917649841E2
4.466010888E2,9.917435455E2
4.476655648E2,9.917237091E2
